word,duration,wpm,timestamp
mother,0.5621612071990967,128.07714064570854,05/01/2021 11:12:19
today,0.5436687469482422,110.36131897740309,05/01/2021 11:12:19
want,0.3485288619995117,137.72173622759325,05/01/2021 11:12:19
dead,0.4929375648498535,97.3754151088497,05/01/2021 11:12:19
plastic,0.7052490711212158,119.10685662649014,05/01/2021 11:12:19
story,0.5420382022857666,110.69330491279202,05/01/2021 11:12:19
member,0.5463728904724121,131.77813404641364,05/01/2021 11:12:19
do,0.2047581672668457,117.21144177229634,05/01/2021 11:12:19
rude,0.47866296768188477,100.27932645898854,05/01/2021 11:12:19
strange,0.6717126369476318,125.05347581624972,05/01/2021 11:12:19
title,0.5251080989837646,114.26218737840318,05/01/2021 11:12:19
excited,0.9227480888366699,91.03242912797658,05/01/2021 11:12:19
quick,0.5000216960906982,119.99479316416839,05/01/2021 11:12:19
sit,0.3931083679199219,91.57780128285994,05/01/2021 11:12:19
perfect,0.9327747821807861,90.0538925415755,05/01/2021 11:12:19
soap,0.40154409408569336,119.53855306798845,05/01/2021 11:12:19
birthday,0.8230483531951904,116.63956270286477,05/01/2021 11:12:19
map,0.41558170318603516,86.6255653798228,05/01/2021 11:12:19
south,0.5047497749328613,118.87078108748206,05/01/2021 11:12:19
sometimes,0.8298230171203613,130.14823374600994,05/01/2021 11:12:19
invent,0.6935451030731201,103.81444506055301,05/01/2021 11:12:19
wire,0.46089839935302734,104.14442763823567,05/01/2021 11:12:19
own,0.3601703643798828,99.95269894562921,05/01/2021 11:12:19
cupboard,1.0633902549743652,90.27729899811263,05/01/2021 11:12:19
long,0.5099570751190186,94.12556927227122,05/01/2021 11:12:19
before,1.012059211730957,71.1420825633869,05/01/2021 11:12:19
though,0.668795108795166,107.65628972632284,05/01/2021 11:12:19
rule,0.3565983772277832,134.60521153560717,05/01/2021 11:12:19
soft,0.47096824645996094,101.91769903978164,05/01/2021 11:12:19
live,0.4257080554962158,112.75332796803671,05/01/2021 11:12:19
face,0.5544202327728271,86.57692696375301,05/01/2021 11:12:19
join,0.39606332778930664,121.19274023151799,05/01/2021 11:12:19
birth,0.6508655548095703,92.1849367455845,05/01/2021 11:12:19
square,0.898777961730957,80.10877331853482,05/01/2021 11:12:19
choice,0.7568848133087158,95.12676002211299,05/01/2021 11:12:19
fit,0.34023022651672363,105.81070461777581,05/01/2021 11:12:19
him,0.2918276786804199,123.36047136715756,05/01/2021 11:12:19
one,0.2994084358215332,120.23709319084894,05/01/2021 11:12:19
pink,0.5256032943725586,91.32362851207054,05/01/2021 11:12:19
twice,0.5981073379516602,100.31644187058825,05/01/2021 11:12:19
luck,0.48224806785583496,99.53383579827903,05/01/2021 11:12:19
such,0.3805224895477295,126.14234721593056,05/01/2021 11:12:19
hour,0.47559571266174316,100.92605698937183,05/01/2021 11:12:19
west,0.47486233711242676,101.08192679984154,05/01/2021 11:12:19
extremely,1.384087324142456,78.02975875594696,05/01/2021 11:12:19
cost,0.475750207901001,100.89328223685892,05/01/2021 11:12:19
grey,0.5178618431091309,92.68881389642138,05/01/2021 11:12:19
cloth,0.6670689582824707,89.94572338440753,05/01/2021 11:12:19
taste,0.5674724578857422,105.73200367035382,05/01/2021 11:12:19
library,0.9285471439361572,90.46390433545447,05/01/2021 11:12:19
stay,0.40399169921875,118.81432240519716,05/01/2021 11:12:19
space,0.6124796867370605,97.96243254963358,05/01/2021 11:12:19
rock,0.5094172954559326,94.22530492813286,05/01/2021 11:12:19
fault,0.6066465377807617,98.90438049723714,05/01/2021 11:12:19
high,0.47286343574523926,101.5092231107938,05/01/2021 11:12:19
minute,1.1023240089416504,65.31654886944516,05/01/2021 11:12:19
money,0.6525404453277588,91.94832355542825,05/01/2021 11:12:19
bone,0.46369266510009766,103.51684124578121,05/01/2021 11:12:19
read,0.3943469524383545,121.72022556077317,05/01/2021 11:12:19
remove,0.7221553325653076,99.70154169496315,05/01/2021 11:12:19
forget,0.7104549407958984,101.34351366371082,05/01/2021 11:12:19
here,0.4192473888397217,114.49087407041766,05/01/2021 11:12:19
wonder,0.687016487121582,104.80097836030257,05/01/2021 11:12:19
direction,0.9194598197937012,117.46027142788242,05/01/2021 11:12:19
zero,0.4966709613800049,96.6434596188824,05/01/2021 13:36:16
aunt,0.5056591033935547,94.92561229070088,05/01/2021 13:36:16
party,0.544109582901001,110.27190456764444,05/01/2021 13:36:16
great,0.5173366069793701,115.97864753922705,05/01/2021 13:36:16
clean,0.40606069564819336,147.7611614298749,05/01/2021 13:36:16
thin,0.31581830978393555,151.98612149130554,05/01/2021 13:36:16
corn,0.38336777687072754,125.20614119372298,05/01/2021 13:36:16
join,0.357036828994751,134.43991236182998,05/01/2021 13:36:16
sometimes,0.7443177700042725,145.099316921293,05/01/2021 13:36:16
bone,0.6446301937103271,74.46129652060544,05/01/2021 13:36:16
single,0.7431983947753906,96.87857307840369,05/01/2021 13:36:16
say,0.35000061988830566,102.85696068620832,05/01/2021 13:36:16
word,0.47869873046875,100.27183475710825,05/01/2021 13:36:16
friend,0.7023591995239258,102.51164937941036,05/01/2021 13:36:16
left,0.4665980339050293,102.87227230316589,05/01/2021 13:36:16
proper,0.6566298007965088,109.65082594890173,05/01/2021 13:36:16
orange,0.6920480728149414,104.03901524808279,05/01/2021 13:36:16
can,0.38480329513549805,93.55429242705308,05/01/2021 13:36:16
were,0.385758638381958,124.43013642243551,05/01/2021 13:36:16
break,0.6668581962585449,89.97415093138878,05/01/2021 13:36:16
desk,0.5362546443939209,89.50971427809257,05/01/2021 13:36:16
