timestamp,wpm,accuracy,actual_duration,duration
09/12/2020 05:25:22,78,95,59.299644470214844,60.0
09/12/2020 05:26:31,81,95,60.00207853317261,60.0
09/12/2020 05:35:16,82,94,59.34064817428589,60.0
09/12/2020 05:41:53,89,96,59.59277701377869,60.0
09/12/2020 09:38:56,80,92,59.79492402076721,60.0
09/12/2020 09:40:09,88,95,59.71075439453125,60.0
09/12/2020 09:42:55,80,93,60.06437849998474,60.0
09/12/2020 09:47:52,78,92,58.74337911605835,60.0
09/12/2020 18:00:34,87,93,60.04015350341797,60.0
10/12/2020 05:54:35,84,94,59.8591673374176,60.0
10/12/2020 05:56:28,87,94,59.70814776420593,60.0
10/12/2020 05:58:27,81,91,59.70695161819458,60.0
10/12/2020 21:31:04,78,87,58.34032344818115,60.0
11/12/2020 05:42:36,73,95,59.26049590110779,60.0
11/12/2020 05:43:57,83,97,59.79500365257263,60.0
11/12/2020 05:55:54,87,97,59.631768226623535,60.0
11/12/2020 05:57:54,83,90,59.70251774787903,60.0
12/12/2020 05:43:26,82,96,59.47406601905823,60.0
12/12/2020 05:46:53,84,96,59.9119610786438,60.0
12/12/2020 05:48:35,85,95,59.897947549819946,60.0
12/12/2020 05:54:23,88,98,60.03048634529114,60.0
12/12/2020 05:56:47,81,92,59.90267729759216,60.0
12/12/2020 05:58:06,84,95,59.13179850578308,60.0
12/12/2020 10:50:56,80,91,59.89326524734497,60.0
13/12/2020 05:53:31,81,96,59.1184766292572,60.0
13/12/2020 05:57:18,84,95,60.03071475028992,60.0
13/12/2020 10:04:59,92,96,60.0660982131958,60.0
13/12/2020 10:06:54,78,88,59.889277935028076,60.0
14/12/2020 05:51:23,79,91,59.665168046951294,60.0
14/12/2020 05:53:01,84,95,59.324225664138794,60.0
14/12/2020 05:57:39,78,96,59.17972683906555,60.0
14/12/2020 06:00:05,84,94,59.57795858383179,60.0
14/12/2020 21:42:14,99,98,59.57327914237976,60.0
15/12/2020 05:53:37,82,96,59.429640769958496,60.0
15/12/2020 05:54:40,85,95,59.69671845436096,60.0
15/12/2020 05:56:47,87,96,60.04815125465393,60.0
15/12/2020 05:59:15,90,96,59.179373025894165,60.0
16/12/2020 05:49:08,82,96,59.131781339645386,60.0
16/12/2020 05:54:23,82,95,59.732534885406494,60.0
16/12/2020 05:55:42,85,98,58.23912572860718,60.0
16/12/2020 08:20:47,80,90,59.38870143890381,60.0
17/12/2020 05:54:38,84,95,59.47991585731506,60.0
17/12/2020 05:55:56,76,93,59.59655165672302,60.0
17/12/2020 05:56:58,80,95,59.88320541381836,60.0
17/12/2020 05:58:05,77,92,59.60492515563965,60.0
18/12/2020 16:37:24,92,97,59.99308371543884,60.0
18/12/2020 16:39:09,87,91,59.354681968688965,60.0
18/12/2020 16:41:25,92,96,59.90872597694397,60.0
19/12/2020 05:55:53,81,94,59.71182870864868,60.0
19/12/2020 05:58:09,86,96,59.43160009384155,60.0
20/12/2020 05:51:51,79,94,59.71561527252197,60.0
